"Project Name","Kind","Year Started","Year Ended/Ongoing","Location","Theme","Short Description","Key Numbers","Partners","Funder","Available Photos","Available Report","Available Video","Available Media Coverage","Website Status","Missing Information","Source"
"Bridge the Gap","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","A module-based curriculum on land, water and air — five to sixteen sessions, plus exposure trips and action projects.","3M+ Children and young people reached (cumulative, since 2000) | 100–150 Schools in Delhi (every year) | 50,000+ Students through the curriculum (over fifteen years) | 250+ Schools in Delhi NCR (over fifteen years) | 200+ Schools on year-long curricula (in 2019–20)","TO COLLECT","Bupa Foundation, Acuity Knowledge Partners, Sir Ratan Tata Trust, Nokia Siemens Networks, American Express, National Geographic, Adobe","4 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","Four figures that used to sit on this page — twenty-five thousand children, eighty-five schools, twelve hundred mentors, twelve cities — are withdrawn. Not one of them could be traced to any record we hold, and they were captioned as verified by us. || The three million is a derivation, not a register: schools a year, times years, times the children in a school. The middle term — how many children a school has — is not written down anywhere we can cite, so the figure carries the method instead of a source document. That is also the difference between this figure and the twenty-five thousand wi","data/work/projects/bridge-the-gap.json"
"Eco Action","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Over 70 butterfly parks and over 20 herb gardens across Delhi NCR.","70+ Butterfly parks across Delhi NCR (cumulative, no start year sourced) | 20+ Herb gardens across Delhi NCR (cumulative, no start year sourced) | 5% → 90% Green cover in one Vasant Kunj park (over a decade)","TO COLLECT","PVR, American Express, Adobe, Amazon, The American Embassy","5 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","The photograph above is a planting site of ours, not one of these gardens. Not one butterfly park, not one herb garden, and neither the before nor the after of the park that went from five per cent to ninety. || The count here is over seventy. Elsewhere on our own site it has been seventy-eight. We have published the figure we can stand behind rather than the one that flatters us. || We do not name which park in Vasant Kunj, or say when its decade started.","data/work/projects/eco-action.json"
"Farm School","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","A learning lab on five acres. Day visits, short courses, internships and stays.","30 School groups a year (annual, current) | 5,000 kg Dead leaves composted into soil on site (cumulative, no start year sourced) | 500 kg Honey from the apiary (cumulative, no start year sourced)","TO COLLECT","TO COLLECT","5 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","Nobody is named as a partner or a funder here.","data/work/projects/farm-school.json"
"Food systems, with UNEP","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Curriculum and action projects on food and sustainability, in Delhi NCR government schools.","TO COLLECT","UNEP","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","Has it started? Our own sentence about this project is in the future tense, and it sits under a heading that reads What is running. || UNEP's role is not stated: funder, technical partner, or co-designer. || No first deliverable is named and nothing is dated.","data/work/projects/food-systems.json"
"Influence","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Volunteering and a fellowship, nationwide. Ten thousand volunteers a year, and over 300 youth groups.","10 Fellowships (each year) | 10,000 Volunteers, annually (since 2010) | 50 Colleges (since 2010) | 200 Placements (since 2010) | 75 Partner organisations (since 2010) | 300+ Youth groups in the CYON network (since 2010)","TO COLLECT","TO COLLECT","4 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","There may be films and case studies of the fellows' projects. We have not put our hands on them, so this page counts fellowships instead of showing one. || The volunteering figures are dated to the year the programme started. We cannot say which of them is still true. || How long a fellowship runs is not stated here, because we have not been told. || Fifty colleges and seventy-five partner organisations sit behind the volunteering half, and this page names none of them.","data/work/projects/influence.json"
"ME to WE","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Over 3,000 girls and boys in thirteen years. Over 200 came back as peer leaders.","3,000+ Girls and boys through the programme (over thirteen years) | 200+ Alumni who came back as peer leaders (over thirteen years) | 400+ Young people through job-exposure camps (since 2019)","TO COLLECT","EMpower","4 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","The photograph above is one of ours and it is of schoolchildren, but it is not of this. Nothing of the riverbank school, nothing of the Jagdamba group, and no face on the alumni who became staff. || We say some alumni are now core team members and we name none of them. || ME to WE and She Leads Change both sit on Jagdamba and both run with EMpower. This page does not yet say how they differ.","data/work/projects/me-to-we.json"
"She Leads Change","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","With EMpower: over 50 adolescent girls from Jagdamba, on agency and decision-making, since 2017.","50+ Adolescent girls through the year-long journey (since 2017) | 300 Girls in the wider Learning Communities cohort (period not sourced) | 57 Girls recognised by the ELC Bright Promise Award (in 2018)","EMpower","EMpower","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","We know the award and how many girls were in it. We do not know what the 2018 ELC Bright Promise Award was given for. || We can say how many girls have been through this since 2017. We cannot say how many are in it now. || This runs on the same settlement, with the same partner, in the same age group as ME to WE, and we have not said how the two differ.","data/work/projects/she-leads-change.json"
"Delhi I Can't See You","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Our campaign on Delhi's air.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","This is a name and nothing else: no start date, no demand, no action we can name. The air situation page already tells readers it is Swechha's campaign on Delhi's air, and the line above this one says so too — so the name is doing work the content cannot back. || There is no photograph, because there is not yet an it.","data/work/campaigns/delhi-i-cant-see-you.json"
"Monsoon Wooding","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","About 5,000 trees a year in Delhi NCR. Over 50,000 planted and survived.","~5,000 Trees planted in Delhi NCR (each year) | 50,000+ Trees planted and survived (cumulative, no start year sourced)","TO COLLECT","IndusInd Bank, PwC, Amazon, Adobe, S&P Global","3 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","We count survivors against what was planted, so a rate exists — but we cannot publish one here, because the planted total behind the fifty thousand is not written down anywhere we can cite. || How long after planting the count is taken is not recorded, and it is the difference between a sapling that made it and one that had not died yet. || The sites are spread across Delhi and we hold no geo locations for them, so there is nowhere on this page a reader can go and stand.","data/work/campaigns/monsoon-wooding.json"
"No more Waste Hills","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Against the landfill mountains Delhi built for itself.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","We name the target and nothing else: no year, no landfill, no demand, no outcome. || A CityScapes walk goes to a landfill edge and we hold a photograph of it. This campaign has no photograph and no stated link to that walk.","data/work/campaigns/no-more-waste-hills.json"
