"Institution Name","City","State","Programme/Project","Year","Number of Students/Participants","Key Activity","Photos Available","Permission Available","Website Use Recommendation","Source"
"Vasant Valley School","New Delhi","Delhi","Yamuna Yatra","TO COLLECT","TO COLLECT","Named as a Yatra school","NO","TO COLLECT","Already named on /work/journeys/yamuna-yatra — confirm permission and add years/numbers","data/work/journeys/yamuna-yatra.json"
"The Shriram School","New Delhi","Delhi","Yamuna Yatra; NatureScapes","TO COLLECT","TO COLLECT","Named as a Yatra school and a NatureScapes school. The site's own copy says one school made the Yatra part of its Grade XI year — confirm whether this is that school.","NO","TO COLLECT","Confirm the Grade XI claim and name the school, with permission — it is the strongest school-partnership fact on the site","data/work/journeys/yamuna-yatra.json; data/work/journeys/naturescapes.json; home.html"
"Pathways World School","Gurugram (TBC)","Haryana (TBC)","Yamuna Yatra","TO COLLECT","TO COLLECT","Named as a Yatra school","NO","TO COLLECT","Confirm city/state and permission","data/work/journeys/yamuna-yatra.json"
"Modern School","New Delhi","Delhi","NatureScapes","TO COLLECT","TO COLLECT","Named as a NatureScapes school","NO","TO COLLECT","Confirm which Modern School campus","data/work/journeys/naturescapes.json"
"[Bridge the Gap partner schools — 250+ claimed over 15 years, 100-150 per year]","Delhi / NCR","Delhi / Haryana / UP","Bridge the Gap","2010-2026","50,000+ students over 15 years (aggregate)","Five to sixteen curriculum sessions on land, water and air, plus exposure trips and action projects","Some, unlabelled","SCHOOL PERMISSION REQUIRED","Collect the 20-30 longest-running partner schools, not all 250. A named list of 20 with permission is worth more than a claim of 250.","data/work/projects/bridge-the-gap.json"
"[Eco Action schools — 100+ 'green infrastructures across 100+ schools' claimed on the homepage]","Delhi / NCR","Delhi","Eco Action","TO COLLECT","100+ (homepage figure, NOT in /impact's register — see master sheet N-01)","Butterfly parks, herb gardens, airshed parks","NONE of any garden","SCHOOL PERMISSION REQUIRED","Name the Vasant Kunj park first — it carries the 5%-to-90% decade figure and is the site's best unillustrated claim","home.html; data/work/projects/eco-action.json"
"[Farm School visiting schools — 30 groups a year]","Various","Various","Farm School","annual, current","30 school groups a year","Day visits, overnight camps, short courses","Some farm frames, not visit-labelled","SCHOOL PERMISSION REQUIRED","Two named schools with a visit account each would populate /farm and /work/projects/farm-school","data/work/projects/farm-school.json"
"[Food systems with UNEP — Delhi NCR government schools]","Delhi / NCR","Delhi","Food systems, with UNEP","TO COLLECT","TO COLLECT","Curriculum and action projects on food and sustainability","NONE","SCHOOL PERMISSION REQUIRED","The site cannot currently say whether this has started — see master sheet W-13","data/work/projects/food-systems.json"
"[Influence — 50 colleges]","Various","Various","Influence — volunteering","since 2010","50 colleges (aggregate)","Volunteering placements","NONE","INSTITUTION PERMISSION REQUIRED","Five college names with permission would turn a count into a list of collaborators","data/work/projects/influence.json"
"[Teacher Training — 700+ educators]","Delhi / NCR","Delhi","Teacher Training","TO COLLECT","700+ educators (old site, unverified)","Teacher training","NONE","TO BE VERIFIED","The programme has no page at all — see master sheet M-02","legacy audit §1.5"
"[Jagdamba Camp / settlement]","New Delhi","Delhi","ME to WE; She Leads Change; This Girl Can","2007-2026 (ME to WE); 2017- (She Leads Change)","3,000+ girls and boys; 50+ adolescent girls","Year-long journeys on agency and decision-making; peer leadership; Kitaab Ghar library (Pagdandi era)","NONE of the programme","COMMUNITY CONSENT REQUIRED — minors","The site's three girl-focused items may be one programme under three names — settle that before collecting","data/work/projects/me-to-we.json; she-leads-change.json"
