"File","Alt text (already written)","Credit","Tags","Pixels","Rendering note","Used on which built pages","Usable?"
"/images/photos/bamboo-net-plot.jpg","A bamboo and netting frame over a cultivated plot","Swechha archive","farm","1182x886","signal: green","work/projects/farm-school.html","YES"
"/images/photos/bee-on-mustard-flower.jpg","A honeybee feeding on a mustard flower in full bloom","Swechha archive","biodiversity, farm","746x559","signal: mustard","farm.html, work/projects/eco-action.html","YES"
"/images/photos/bridge-the-gap-butterfly-gardening-assembly.jpg","Hundreds of schoolchildren seated on green mats in an assembly hall, many with a hand raised, facing a screen that reads Butterfly Gardening with the Shiv Nadar School, Noida","Swechha archive","(untagged)","2880x2160","signal: none","NOT USED ANYWHERE","YES"
"/images/photos/bridge-the-gap-cinegreen-screening.jpg","Two girls in a cinema-seated auditorium holding up a hand-lettered Hindi poster about air and water pollution","Swechha archive","(untagged)","746x497","signal: none","work/projects/bridge-the-gap.html","YES"
"/images/photos/bridge-the-gap-classroom-session.jpg","A girl standing to read from a worksheet in a school auditorium while classmates follow on their own papers, three facilitators at the back","Swechha archive","(untagged)","1148x644","signal: none","work/projects/bridge-the-gap.html","YES"
"/images/photos/bridge-the-gap-classroom-water-crisis.jpg","A speaker addressing seated schoolchildren in a hall, the screen behind reading India&rsquo;s water crisis with three figures on it","Swechha archive","(untagged)","1280x853","signal: none","impact.html","YES"
"/images/photos/bridge-the-gap-compost-soil-circle.jpg","Children in school uniform sitting cross-legged on a mat around two bowls of compost, several holding up a fistful of soil","Swechha archive","(untagged)","1024x768","signal: none","home.html, work/projects/bridge-the-gap.html","YES"
"/images/photos/bridge-the-gap-exposure-trip-ghat-briefing.jpg","Teenagers standing on stone ghat steps above an informal riverside settlement while a facilitator addresses them","Swechha archive","(untagged)","960x720","signal: none","home.html, work/projects/bridge-the-gap.html","YES"
"/images/photos/bridge-the-gap-exposure-trip-landfill.jpg","Children in beige school uniforms standing at the edge of a landfill mound, a rag-picker working the waste behind them","Swechha archive","(untagged)","1126x835","signal: none","work/projects/bridge-the-gap.html","YES"
"/images/photos/bridge-the-gap-no-dumping-banner.jpg","Three children holding up a hand-painted cloth banner reading No Dumping","Swechha archive","(untagged)","960x592","signal: none","home.html, work/projects/bridge-the-gap.html, work/projects/influence.html","YES"
"/images/photos/bridge-the-gap-outdoor-briefing.jpg","A facilitator in a purple scarf addressing a semicircle of girls in winter school uniforms against a boundary wall","Swechha archive","(untagged)","1148x644","signal: none","home.html","YES"
"/images/photos/bridge-the-gap-planting-red-uniforms.jpg","Two children in maroon school uniforms crouched in dug earth, settling a sapling into the ground","Swechha archive","(untagged)","960x720","signal: none","NOT USED ANYWHERE","YES"
"/images/photos/bridge-the-gap-sapling-bamboo-frame.jpg","A young sapling inside a painted circular guard in a dug plot, with other children working the ground behind it","Swechha archive","(untagged)","1280x960","signal: none","NOT USED ANYWHERE","YES"
"/images/photos/bridge-the-gap-sapling-cups-group.jpg","A group of children in maroon school uniforms, each holding up a sapling growing in a repurposed plastic cup","Swechha archive","(untagged)","1182x788","signal: none","work/projects/bridge-the-gap.html","YES"
"/images/photos/bridge-the-gap-sapling-planting-green-caps.jpg","Children in green caps and maroon uniforms crouched together planting saplings along a wall, water bottles beside them","Swechha archive","(untagged)","1280x960","signal: none","home.html","YES"
"/images/photos/bridge-the-gap-tree-planting-huddle.jpg","A tight circle of students in school jackets, all hands together packing soil around a newly planted tree","Swechha archive","(untagged)","1280x589","signal: none","impact.html, work/campaigns/monsoon-wooding.html, work/projects/bridge-the-gap.html","YES"
"/images/photos/bridge-the-gap-tyre-planter-garden.jpg","A lawn planted up with old tyres and bicycle wheels painted and repurposed as flower beds","Swechha archive","(untagged)","1182x886","signal: none","home.html, work/projects/eco-action.html","YES"
"/images/photos/bridge-the-gap-vermicompost-unit-visit.jpg","A large group standing for a photograph outside a building signed Green Bharat Vermicompost Unit","Swechha archive","(untagged)","746x420","signal: none","work/projects/influence.html","YES"
"/images/photos/children-beekeeping-veils.jpg","Children in beekeeping veils crouched together, grinning","Swechha archive","farm, schools","746x746","colour baked in — takes NO filter; signal: red","home.html, work/index.html, work/projects.html","YES"
"/images/photos/children-certificates-field.jpg","Schoolchildren holding seedling boxes at the edge of a mustard field","Swechha archive","youth, planting","746x746","signal: red","home.html, work/campaigns/monsoon-wooding.html","YES"
"/images/photos/children-hats-red-jackets.jpg","Children in sun hats and red jackets at a planting site","Swechha archive","youth, planting","2000x2000","signal: red","work/campaigns.html, work/campaigns/monsoon-wooding.html, work/projects/eco-action.html, work/projects/me-to-we.html","YES"
"/images/photos/children-seedling-boxes-field.jpg","Children carrying labelled seedling boxes across a field","Swechha archive","schools, farm","1280x1280","colour baked in — takes NO filter; signal: red","home.html, work/campaigns/monsoon-wooding.html, work/projects.html, work/projects/influence.html","YES"
"/images/photos/cityscapes-bird-watching-walk-binoculars-legacy.jpg","A line of children on a park path, several raising binoculars towards birds in the trees overhead","Swechha archive","(untagged)","420x746","signal: none","home.html, work/journeys/cityscapes.html","YES"
"/images/photos/cityscapes-bird-watching-walk.jpg","A kingfisher perched on a bare branch","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","663x780","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-birdwatching.jpg","A young woman raising binoculars to watch birds","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","660x777","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-butterfly.jpg","A butterfly feeding on a cluster of small flowers","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","660x777","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-community-restoration.jpg","A group kneeling to plant saplings in cleared ground","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","663x777","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-forest-walk-goat-trail-legacy.jpg","A line of students walking a dirt trail through open forest, a goat grazing beside the path","Swechha archive","(untagged)","560x746","signal: none","work/journeys/cityscapes.html","YES"
"/images/photos/cityscapes-forest-walk-treeline-legacy.jpg","A school group in blue uniforms walking in single file through tall green undergrowth","Swechha archive","(untagged)","713x535","signal: none","home.html","YES"
"/images/photos/cityscapes-forest-walk.jpg","A track running away between tall trees in an urban forest","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","660x780","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-group-learning.jpg","A group standing together under trees listening to a guide","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","684x777","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-heritage-walk.jpg","A domed colonial-era building behind overgrown planting","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","660x780","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-hero-riverside-walk.jpg","A group walking a riverside path below a city skyline and road bridge, a single yellow-leaved plant in the foreground","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","2000x816","signal: yellow","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-landfill-mound-legacy.jpg","A group of masked students standing at the foot of a large dark landfill mound under a hazy sky","Swechha archive","(untagged)","715x570","signal: none","home.html, work/campaigns.html","YES"
"/images/photos/cityscapes-landfill-walk-birds-smoke-legacy.jpg","A small group walking a dirt track beside a smoking landfill, birds circling above it","Swechha archive","(untagged)","960x720","signal: none","work/journeys/cityscapes.html","YES"
"/images/photos/cityscapes-landfill-walk.jpg","A single bird standing on a mound of mixed waste against an open sky","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","663x780","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-restoration-park-walk.jpg","A timber boardwalk running along a restored city waterway","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","642x780","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-restoration-walk-trash-path-legacy.jpg","A line of walkers on a footpath thickly littered with plastic waste along both edges","Swechha archive","(untagged)","960x640","signal: none","home.html","YES"
"/images/photos/cityscapes-riverbank-restoration.jpg","Young people clearing weed from a shallow riverbank","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","642x777","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-urban-wetland.jpg","Birds over an urban wetland with the skyline behind at dusk","NOT A PHOTOGRAPH — provenance unverified, shows generation/screenshot artefacts","(untagged)","663x777","signal: none","NOT USED ANYWHERE","NO — withdrawn as synthetic (22 Aug 2026)"
"/images/photos/cityscapes-yamuna-boatride-metro-bridge-legacy.jpg","A group seated in a boat on the Yamuna, a Delhi Metro train crossing the bridge overhead","Swechha archive","(untagged)","2880x2160","signal: none","work/journeys/cityscapes.html","YES"
"/images/photos/cityscapes-yamuna-boatride-umbrella-legacy.jpg","A group seated in a boat on the Yamuna under a pink umbrella, a road bridge behind them","Swechha archive","(untagged)","746x560","signal: none","work/journeys/cityscapes.html","YES"
