"ID","Item","Kind","On the site today","Can it have a page?","MINIMUM to earn a page","Name to use","One line (about 110 characters)","Intro — two sentences","Year started","Year ended, or 'ongoing'","Where it happens / happened","What it sets out to do (3-4 short points)","How it works (2-3 points)","Activities (2-4, a sentence each)","Who it is for (3-4 points)","What it has done (3-4 points)","Figures — value | what it counts | period | counted or modelled | who said it + date","Schools involved","Partners","Funders","Photo links (Drive)","Captions for those photos","Statement line (under 34 characters, NO digits)","What we still cannot say","Who can answer","Status"
"P-01","We for Yamuna","campaigns","Card on /work/campaigns. Founding campaign, 2000.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","One dated action and one stated demand — anything that is not the year 2000.","","","","","","","","","","","","","","","","","","","","Vimlendu / Ashim","NOT STARTED"
"P-02","Delhi I Can't See You","campaigns","Card. Cross-linked from /now/air as our air campaign.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","When it started, what it asks for, one thing it has done, and one photograph from a real action.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"P-03","This Girl Can","campaigns","Card.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","When it started, what it asked for, one thing it did — AND whether it is its own campaign or the name She Leads Change / ME to WE campaign under.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"P-04","No more Waste Hills","campaigns","Card.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","Which landfill, what was asked and of whom, what year. And whether the CityScapes landfill walk is part of it.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"P-05","No Plastic","campaigns","Card.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","Whether it is a ban, a substitution or a shop. Plus when it ran and what changed. A refusal counts as an outcome.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"P-06","Park Restoration","campaigns","Card.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","First: is this the same work as Eco Action under another name? If yes it becomes a section there. If no: one park, one year, one demand.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"P-07","Sustainable Shopping","campaigns","Card.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","Who it spoke to and what it asked them to buy instead; the years; and one line on whether it is connected to Green the Map.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"P-08","She Leads Change","projects","Card with three sourced figures — closest to page-ready.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","One sentence on how it differs from ME to WE (or a merge), a current cohort size, and the citation for the 2018 ELC Bright Promise Award.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"P-09","Food systems, with UNEP","projects","Card. Our own sentence is in the future tense under a heading reading 'What is running'.","YES — but it is a RULING. Supply the minimum below and the page is switched on in one line.","Has it started? A start date, a school count, one word for UNEP's role (funder / technical partner / co-designer), and one dated deliverable.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"E-01","Yamunotsav","events","Row. Nine editions 2006-2014, no photograph.","NO — events never get a detail page (closed ruling). This becomes a RICHER ROW instead.","Access to the Yamunotsav Drive folder; what happened at one; roughly how many came; why 2014 was the last, and whether it returns.","","","","","","","","","","","","","","","","","","","","Vimlendu","NOT STARTED"
"E-02","Yamuna Shramdaan","events","Row. We cannot say when one last ran.","NO — events never get a detail page (closed ruling). This becomes a RICHER ROW instead.","Whether they still run, roughly how many have run, which bank stretches, and the archive folder. This unblocks the volunteer ask on /act.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"E-03","Cyclothon","events","Row, 43 words of data.","NO — events never get a detail page (closed ruling). This becomes a RICHER ROW instead.","One line on what happens, roughly how many editions, which years, and the archive folder.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"E-04","Greenathon","events","Row, 42 words of data.","NO — events never get a detail page (closed ruling). This becomes a RICHER ROW instead.","One line on what happens, roughly how many editions, which years.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-01","The Remakery","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it is, where, when it opened, the weekly 'One Night Stand' events, what it makes, who runs it, and whether it is open now. /remakery currently 404s.","","","","","","","","","","","","","","","","","","","","Nikhil / Ashim","NOT STARTED"
"N-02","Teacher Training","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Verified number of teachers trained, over what period, in which schools, what the training covers, and whether it runs standalone or only inside Bridge the Gap.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-03","Green Finance (with IGES)","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Study period, method, what the 93 social enterprises were, the findings, the published output, and how it relates to the IGES report already on /publications.","","","","","","","","","","","","","","","","","","","","Vimlendu","NOT STARTED"
"N-04","Circular Economy / Marine Litter & EPR","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Project period, GIZ's role, MoEFCC's role, the deliverables, and clearance to use both names and the 10 infographics. Eight GIZ images already sit unused in the repo.","","","","","","","","","","","","","","","","","","","","Vimlendu / Ashim","NOT STARTED"
"N-05","Women & Non-Traditional Livelihoods","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Programme years, the British Council YWSEDP relationship, what Udaan / MOM candles / Lunchbox 17 were, the 25,000-meals figure and its source, and what happened when it became Million Kitchen.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-06","Pagdandi","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","The 2007 start, the open-air school at Kudsia Ghat, the Jagdamba Camp school, the Kitaab Ghar library, and the RTE campaign with its 150+ children figure. This is ME to WE's first chapter.","","","","","","","","","","","","","","","","","","","","Vimlendu / Ashim","NOT STARTED"
