"Asset Needed","Related Project/Page","Description","Approximate Year","Location","Preferred Orientation","Minimum Quality Needed","Source/Photographer","File Available?","Rights/Credit Confirmed?","Priority","Status","Alt text (REQUIRED - build refuses a frame without it)","Credit line (REQUIRED - e.g. 'Swechha archive')","Genuine photograph? (confirm - 25 synthetic frames were withdrawn on 22 Aug)","Link to file (Drive/Dropbox) or filename once supplied"
"Gram Anubhav — shramdaan","/work/journeys/gram-anubhav","Villagers and students working together on a shared task","any","Uttarakhand / Rajasthan / Gujarat / Himachal","Landscape","2000px long edge, EXIF intact","Facilitators' phones; journey leads","NO — all 12 filed frames were withdrawn as synthetic","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"Gram Anubhav — village interaction","/work/journeys/gram-anubhav","A group in conversation with village hosts","any","as above","Landscape","2000px","Facilitators","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"Gram Anubhav — home visit","/work/journeys/gram-anubhav","Inside a host household","any","as above","Landscape or portrait","2000px","Facilitators","NO","CONSENT REQUIRED — private home","CRITICAL","NOT STARTED","","","",""
"Gram Anubhav — cultural evening","/work/journeys/gram-anubhav","An evening gathering, music or performance","any","as above","Landscape","2000px","Facilitators","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"NatureScapes — Sariska","/work/journeys/naturescapes","A Swechha group on a Sariska journey","any","Sariska Tiger Reserve, Rajasthan","Landscape","2000px","Journey leads","NO — only stock, refused by the build","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"NatureScapes — Ranthambore","/work/journeys/naturescapes","A Swechha group on a Ranthambore journey","any","Ranthambore, Rajasthan","Landscape","2000px","Journey leads","NO — only stock","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"NatureScapes — Mukteshwar / Sirmaur","/work/journeys/naturescapes","A Swechha group in the Himalayan destinations","any","Uttarakhand / Himachal","Landscape","2000px","Journey leads","NO — only stock","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"NatureScapes — Jim Corbett","/work/journeys/naturescapes","A Swechha group at Corbett","any","Uttarakhand","Landscape","2000px","Journey leads","NO — only stock","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"NatureScapes — Sunderbans","/work/journeys/naturescapes","A Swechha group in the mangroves","any","West Bengal","Landscape","2000px","Journey leads","NO — only stock","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"NatureScapes — Jaisalmer","/work/journeys/naturescapes","A Swechha group in the desert","any","Rajasthan","Landscape","2000px","Journey leads","NO — only stock","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"Eco Action — Vasant Kunj park BEFORE","/work/projects/eco-action","The park at ~5% green cover, before restoration","~2010-2015","Vasant Kunj, New Delhi","Landscape","Any usable resolution — an old phone photo is fine","Project files / founder archive","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"Eco Action — Vasant Kunj park AFTER","/work/projects/eco-action","The same viewpoint at ~90% green cover","current","Vasant Kunj, New Delhi","Landscape","2400px","Can be shot fresh — the park still exists","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"Eco Action — a butterfly park","/work/projects/eco-action","One of the 70+ butterfly parks","current","Delhi NCR","Landscape","2400px","Can be shot fresh","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"Eco Action — a herb garden","/work/projects/eco-action","One of the 20+ herb gardens","current","Delhi NCR","Landscape","2400px","Can be shot fresh","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"ME to WE — the riverbank school","/work/projects/me-to-we","The 2007 open-air school at Kudsia Ghat","~2007-2010","Kudsia Ghat, Yamuna, Delhi","Landscape","Any","Founder archive","NO","CONSENT — minors, historic","CRITICAL","NOT STARTED","","","",""
"ME to WE — the Jagdamba group","/work/projects/me-to-we","The programme in the settlement","any","Jagdamba Camp, Delhi","Landscape","2000px","Programme team","NO","CONSENT REQUIRED — minors","CRITICAL","NOT STARTED","","","",""
"ME to WE — alumni now on staff","/work/projects/me-to-we","Portraits of the two alumni who became core team members","current","Delhi","Portrait","2000px","Shoot fresh","NO","WRITTEN CONSENT REQUIRED — named individuals","CRITICAL","NOT STARTED","","","",""
"Yamunotsav — the festival","/work/events","Any frames from the nine June editions","2006-2014","Yamuna, Delhi","Landscape","Any","THE DRIVE FOLDER — currently will not open","NO — access blocked","Unlock the folder first","CRITICAL","NOT STARTED","","","",""
"Yamuna Shramdaan","/work/events","A clean-up in progress on the bank","any","Yamuna, Delhi","Landscape","2000px","Archive folder","NO — folder not located","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","CRITICAL","NOT STARTED","","","",""
"Cyclothon","/work/events","The ride","any","Delhi","Landscape","2000px","Archive folder","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","MEDIUM","NOT STARTED","","","",""
"Greenathon","/work/events","The event","any","Delhi","Landscape","2000px","Archive folder","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","MEDIUM","NOT STARTED","","","",""
"Homepage archive strip — 2000 to 2017","/ (record band)","ONE datable image per year: photograph, poster, clipping, letter or report cover. 18 consecutive years currently show placeholder frames.","2000-2017","various","Landscape preferred","Scan at 300dpi or photograph at 2400px","Office archive, Khirki Extension — 'boxes nobody has opened yet'","NO","Own material; check for minors","CRITICAL","NOT STARTED","","","",""
"Homepage archive strip — 2021 and 2024","/ (record band)","Two further placeholder years","2021, 2024","various","Landscape","2400px","Recent programme files","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"CityScapes — heritage walk","/work/journeys/cityscapes","One of the two walks with no frame at all","any","Delhi","Landscape","2000px","Walk leads","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"CityScapes — restoration park walk","/work/journeys/cityscapes","The second walk with no frame","any","Delhi","Landscape","2000px","Walk leads","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"CityScapes — walk labels for existing frames","/work/journeys/cityscapes","Not a photograph: a walk name against each surviving CityScapes frame, so the six walks can carry a picture each","n/a","n/a","n/a","n/a","Walk leads","Frames exist, unlabelled","n/a","HIGH","NOT STARTED","","","",""
"Farm — the barren ground before","/farm","The land before planting, to sit against the food forest now","~2016","Mewat, Haryana","Landscape","Any","Founder / farm archive","NO","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"Farm — each named system","/farm","One frame each: native nursery, dairy, apiary, vermicompost, hydroponics, mud houses, butterfly garden, poultry","current","Swechha Farm","Landscape","2400px","Can be shot fresh — Naveen is on site","Partially","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check separately for identifiable minors","HIGH","NOT STARTED","","","",""
"Farm — people of Mewat","/farm ('Built by Mewat')","Portraits of two or three local people who built or work the farm","current","Mewat, Haryana","Portrait","2400px","Shoot fresh","NO","WRITTEN CONSENT REQUIRED — named individuals","HIGH","NOT STARTED","","","",""
"Governing body portraits","/about","Eight board portraits. Existing sources are 338x232 and too small to use.","current","various","Portrait or square","1200px minimum","Members directly","NO — old WP files too small","EACH MEMBER'S CONSENT","MEDIUM","NOT STARTED","","","",""
"Fellows — portraits","/work/projects/influence","Portraits of 5-10 featured fellows with their projects","2010-2026","across India","Portrait","1200px","The fellows themselves","NO","WRITTEN CONSENT REQUIRED","CRITICAL","NOT STARTED","","","",""
