type	confidence	from	to	why
post	exact	/rise-above-the-waters-charting-a-course-to-resilience/	/stories/rise-above-the-waters	republished verbatim as an essay; exact content match
post	exact	/cyclone-biparjoy-learning-from-the-past-to-strengthen-disaster-management/	/stories/cyclone-biparjoy	republished verbatim as an essay; exact content match
post	exact	/climate-migration/	/stories/increasing-climate-migration-assam-floods	republished verbatim as an essay; exact content match
post	exact	/young-people-climate-action/	/stories/young-people-accelerate-climate-action	republished verbatim as an essay; exact content match
post	exact	/naturescapes-sirmaur-camp-the-shriram-millennium-school-noida/	/work/journeys/naturescapes	a dated NatureScapes camp
post	exact	/naturescapes-mukteshwar-camp-the-shriram-millennium-school-noida/	/work/journeys/naturescapes	a dated NatureScapes camp
post	exact	/naturescapes-sariska-camp-the-shriram-millennium-school-noida/	/work/journeys/naturescapes	a dated NatureScapes camp
post	parent	/2-week-training-on-solid-waste-management-in-kanpur-with-purpose-india/	/work	a programme activity with no specific new page
post	parent	/open-mic-night-at-remakery/	/work/projects	Remakery has no page yet despite being referenced
post	none	/a-fight-to-save-yamuna-swechha-in-the-news/	(none — 404)	empty shell: zero characters of body text, nothing anywhere to send a reader to
post	none	/swechhas-influence-fellowship-featured-on-cnn/	(none — 404)	empty shell: zero characters of body text, nothing anywhere to send a reader to
post	parent	/cnn-news18s-the-breakfast-club-interview-with-vimlendu-jha-on-heatwaves-in-india-2025/	/stories	zero-body press shell, but the broadcast it names is in the 148-video index (owner, 2026-08-23)
post	parent	/uttarkashi-flash-floods-what-is-happening/	/stories	zero-body press shell, but the broadcast it names is in the 148-video index (owner, 2026-08-23)
post	parent	/swechhas-airshed-park-in-the-news/	/stories	zero-body press shell, but the broadcast it names is in the 148-video index (owner, 2026-08-23)
post	parent	/monsoon-wooding-20016-in-the-news/	/stories	zero-body press shell, but the broadcast it names is in the 148-video index (owner, 2026-08-23)
post	parent	/swechha-on-ndtv-prime/	/stories	zero-body press shell, but the broadcast it names is in the 148-video index (owner, 2026-08-23)
post	parent	/whats-choking-delhi-vimlendu-jha-in-conversation-with-rahul-gandhi/	/stories	zero-body press shell, but the broadcast it names is in the 148-video index (owner, 2026-08-23)
post	parent	/dharali-floods-whos-responsible-in-conversation-with-times-now/	/stories	zero-body press shell, but the broadcast it names is in the 148-video index (owner, 2026-08-23)
post	parent	/what-is-the-government-doing-for-air-pollution-in-delhi/	/stories	zero-body press shell, but the broadcast it names is in the 148-video index (owner, 2026-08-23)
post	parent	/learning-to-grow-with-swechha/	/act	a recruitment piece aimed at 18-25s joining social enterprises (owner, 2026-08-23)
post	exact	/climate-crisis-in-the-uk-and-europe/	/stories/climate-crisis-uk-and-europe	republished verbatim as an essay; exact content match
post	exact	/yamuna-yatra-2025/	/work/journeys/yamuna-yatra	a dated Yamuna Yatra
