"Title","Type","Date","Author/Speaker","Publication/Platform","Topic","URL/File","Relevant Swechha Page","Permission/Copyright Status","Recommended Use","Status"
"Khirki Extension, Delhi","Book","2015","Swechha","swechha.in","A record of one Delhi neighbourhood — its water, its waste, its building, and the people who explained all three to us. ","/docs/khirki-extension-delhi-2015.pdf","/publications","Own material","Already published","READY FOR WEBSITE"
"The Sustainable Shopping Basket","Guide","2010","Swechha","swechha.in","A lifestyle and shopping guide, made with GIZ. Written to answer the question that follows every talk about consumption ","/docs/giz-sustainable-shopping-basket-2010.pdf","/publications","Own material","Already published","READY FOR WEBSITE"
"Future Lifestyles: the New Delhi scenario","Research","2021","Published by IGES. Swechha was the New Delhi partner.","swechha.in","A low-carbon-lifestyles scenario for New Delhi in 2030, one city in a multi-city series.","/docs/research/iges-future-lifestyles-new-delhi-scenario.pdf","/publications","Published by IGES. Swechha was the New Delhi partner.","Already published","READY FOR WEBSITE"
"Activity Report 2011-2013","Annual/activity report","2011-2013","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-activity-report-2011-2013.pdf","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. 33pp, text layer","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"Activity Report 2013-14","Annual/activity report","2013-14","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-activity-report-2013-14.pdf","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. 27pp, text layer","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"Activity Report 2014-15","Annual/activity report","2014-15","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-activity-report-2014-15.pdf","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. 27pp, text layer","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"Annual Report 2016-17","Annual/activity report","2016-17","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-annual-report-2016-17.pdf","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. 21pp, text layer","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"Annual Report 2018-19","Annual/activity report","2018-19","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-annual-report-2018-19.docx","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. DOCX ONLY — confirm it is final and produce a PDF","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"Annual Report 2020-21","Annual/activity report","2020-21","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-annual-report-2020-21.pdf","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. ","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"Annual Report 2022-23","Annual/activity report","2022-23","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-annual-report-2022-23.pdf","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. ","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
