"Sheet","Row ID","ID","Wave","Assigned To","Website Page/URL","Section","Content Gap","Priority","Content Needed","Specific Details Required","Existing on Site?","Existing Internally?","Source/Person to Contact","File/URL Available","Asset Type","Public Permission/Clearance","Recommended Website Use","Status","Notes","Project Name","Kind","Year Started","Year Ended/Ongoing","Location","Theme","Short Description","Key Numbers","Partners","Funder","Available Photos","Available Report","Available Video","Available Media Coverage","Website Status","Missing Information","Source","Organisation","Type of Partner","Project/Campaign","Year(s)","Nature of Association","Logo Available","Permission to Display","Existing Website Mention","Missing Content","Should this be publicly featured?","Institution Name","City","State","Programme/Project","Year","Number of Students/Participants","Key Activity","Photos Available","Permission Available","Website Use Recommendation","Metric","Current Number on Website","Correct/Verified Number?","Year/Period","Source of Data","Supporting Document","Needs Updating?","Website Page(s) Using It","Asset Needed","Related Project/Page","Description","Approximate Year","Preferred Orientation","Minimum Quality Needed","Source/Photographer","File Available?","Rights/Credit Confirmed?","Alt text (REQUIRED - build refuses a frame without it)","Credit line (REQUIRED - e.g. 'Swechha archive')","Genuine photograph? (confirm - 25 synthetic frames were withdrawn on 22 Aug)","Link to file (Drive/Dropbox) or filename once supplied","Title","Type","Date","Author/Speaker","Publication/Platform","Topic","URL/File","Relevant Swechha Page","Permission/Copyright Status","Recommended Use","File","Alt text (already written)","Credit","Tags","Pixels","Rendering note","Used on which built pages","Usable?"
"01 · Master sheet","T-01","T-01","1 — already in repo / already public","","/about","New: transparency shelf","Nine annual/activity reports and the 80G certificate are committed to public/docs/ and answer 200 on the live site, but NO page links them. The organisation's entire published transparency record is invisible.","CRITICAL","Editorial decision + a linked list on /about","For each of the 9 files: display title, FY covered, page count, file size, and one line on what it covers. Decide presentation for the two image-only scans (INFLUENCE 2012-13, 80G) and how to state the gap years.","No — files live, links absent","YES — already in repo","Vimlendu / Neeraj (Accounts)","/docs/reports/*.pdf (9), /docs/compliance/80g-certificate.pdf","PDF","Already public on old site; no new clearance needed","A 'Transparency' band on /about listing every report by year with the gaps named","AVAILABLE","Highest credibility per unit of work on this list. Zero collection required — this is a publishing decision, not a hunt.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","T-02","T-02","1 — already in repo / already public","","/about","Transparency shelf — gap years","Five reports listed on the old About page are 404 at both hosts (2015-16, 2017-18, 2018-19, Me-to-We 2015-16, Registration Certificate) and no 2019-20 or 2021-22 report is listed anywhere.","HIGH","The missing report files, or confirmation they are lost","Search internal drives/email for: Annual Report 2015-16, 2017-18, 2019-20, 2021-22. A 2018-19 .docx IS in the repo — confirm whether it is the final version and whether a PDF exists.","No","PARTIAL — 2018-19 exists as .docx only","Neeraj (Accounts) / Vimlendu","docs/reports/swechha-annual-report-2018-19.docx","PDF / DOCX","TO BE COLLECTED / VERIFIED INTERNALLY","Fill the shelf; state remaining years as gaps rather than omitting them","SEARCHING","Do not paper over gap years. A named gap is more credible than a tidy list.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","T-03","T-03","2 — one conversation closes it","","/about, footer","Statutory registration","The footer asserts 'Registered Societies Registration Act, 80G, 12A, FCRA Powered' with no registration numbers and no certificate linked, while the 80G certificate PDF is live and unlinked.","CRITICAL","Registration numbers and certificates","Societies Registration Act number and date; 12A registration number; 80G number and validity; FCRA number and validity; registered legal name exactly as on the certificates.","Claim only, in the footer","YES — with Accounts","Neeraj (Accounts)","80G cert in repo; others TBC","PDF + text","Registration numbers are routinely published by Indian NGOs; confirm with Accounts","A compliance line on /about with numbers, beside the report shelf","NEEDS VERIFICATION","An unlinked claim of FCRA/80G status is the one thing an institutional funder checks first.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","T-04","T-04","1 — already in repo / already public","","/about","New: financial summary","No income or expenditure figure appears anywhere on 35 pages. There is no way to tell whether Swechha is a two-person or a fifty-person operation.","HIGH","Three years of income/expenditure headline figures","FY total income, total expenditure, % to programmes vs admin, and the top funding sources by share, for the last 3 FYs. Source each to the annual report page it comes from.","No","YES — inside the annual reports already on disk","Neeraj (Accounts)","Derivable from /docs/reports/*.pdf","Table / numbers","Already public inside the reports","A short 'Where the money goes' band on /about or /act","AVAILABLE","The numbers are already published inside the PDFs — surfacing them is transcription, not disclosure.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","T-05","T-05","3 — archive, photography, consent or owner ruling","","/about","Governance — Naveen Joshua","One of eight governing-body members has a name and role and no biography. Every other member has one.","MEDIUM","One biography, 100-250 words","Current role/affiliation, qualifications, why he is on this board, and a portrait if he consents.","Name and role only","Possibly — the old /profile/ page had no bio either","Vimlendu / the member directly","No","Text + portrait","Needs his consent","Complete the governing-body list on /about","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","T-06","T-06","2 — one conversation closes it","","/about","Governance — how it works","The board is listed but nothing states how often it meets, what it decides, or how a conflict of interest is handled. Three of eight board members are also staff, which the page notes but does not explain.","MEDIUM","A short governance statement","Meeting frequency, term lengths, how members are appointed, and the policy on staff who also sit on the board.","Partially — overlap is noted","Likely, in the society's rules","Vimlendu / Kuriakose Varghese (board, lawyer)","No","Text","Board sign-off","Two paragraphs under 'Who governs it'","NOT STARTED","Three staff-directors on an eight-person board is normal for a founder-led society but reads badly unexplained.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","T-07","T-07","3 — archive, photography, consent or owner ruling","","/about","New: policies","No child-protection, safeguarding, POSH, or privacy policy is published, on a site whose core work is taking children on residential journeys and to landfills.","HIGH","Existing policy documents","Child protection / safeguarding policy, POSH policy and committee, consent process for photographing minors, data/privacy policy for the two email subscriptions the site runs.","No","LIKELY — required for school partnerships and most funders","Ashim (Programs) / Neeraj","TBC","PDF / text","Should be public","A 'Policies' block on /about; the safeguarding one also belongs on /farm and every journey page","SEARCHING","Schools booking a residential journey will ask for this before they ask about price.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","T-08","T-08","3 — archive, photography, consent or owner ruling","","/act","Giving — no destination","Ruling G-1 stands: there is no payment destination anywhere on the site, so /act's Give ask ends in an email. The old site published two full bank account sets (INDIAN and FCRA) and an 80G FAQ.","CRITICAL","An owner decision on how money is received","Either: (a) a payment gateway/UPI/bank details cleared for publication, or (b) a written decision that giving stays email-mediated. If (a), also the 80G receipting process and the FCRA/domestic split.","No — states the ask, ends in email","YES — the old site published account details","Vimlendu (owner decision) / Neeraj","Old /donate-mainpage had them","Text / gateway","OWNER RULING REQUIRED","Completes the Give band on /act","NOT STARTED","Flagged, not proposed. Bank details are the owner's call. Three different phone numbers were live on the old site; ruling G-4 struck the phone number entirely.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","H-01","H-01","1 — already in repo / already public","","/about","The record since 2000","A 26-year-old organisation has a four-entry timeline: 2000, 2004, 2016, Now. The homepage version has five (adds 2008). Everything between 2004 and 2016 is blank.","CRITICAL","A real timeline: 15-25 dated entries","For each entry: year, one-line event, and ONE verifiable anchor (a report page, a press item, a photograph, a partner). Candidate years already evidenced elsewhere on the site or in the reports: 2004 first Yatra, 2006 first Yamunotsav, 2007 Pagdandi/riverbank school, 2008 CNN Be the Change, 2010 Influence/volunteering begins, 2012-13 Influence annual report, 2014 last Yamunotsav, 2014 Me-to-We final report, 2015 Khirki book, 2017 She Leads Change begins, 2019-20 200+ schools on year-long curricula, 2021 IGES scenario, 2026 farm.","Yes, 4 entries","YES — the 9 annual reports are a year-by-year record","Vimlendu; extract from /docs/reports/*.pdf","Yes — reports already on disk","Text + one image per entry","Own material","Expand 'The record since 2000' on /about into the site's institutional spine","AVAILABLE","The raw material for this is already in the repo. It needs a reader, not a researcher.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","H-02","H-02","3 — archive, photography, consent or owner ruling","","/about","Founding story — evidence","The founding is told well in prose (2000, We for Yamuna, no funding, no office, one stretch of bank) but carries no artefact: no photograph, no clipping, no first-clean-up record.","HIGH","Founding-era artefacts, 2000-2004","Any photograph of the first clean-ups; the first registration document; the first press mention; names of the founding group; the specific stretch of bank.","Prose only","POSSIBLY — founder's personal archive","Vimlendu (founder archive)","No","Photo / scan / text","Own material","Anchors the founding band on /about and the 2000 cell of the homepage archive strip","SEARCHING","The homepage's 2000-2017 archive cells are ALL placeholders. This row and P-01 are the same hunt.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
