"ID","Page","Section","Kind of answer needed","What the site says now","What is missing",">>> YOUR ANSWER (write here)","Number: value (e.g. 700+)","Number: what it counts","Number: period (e.g. since 2010)","Counted or modelled?","Who says so + date (e.g. Ashim 2026-09-02)","Photo / document link","Caption for the photo (what it SHOWS)","Who can answer","Priority","Status"
"A-01","/work/projects/bridge-the-gap","Bridge the Gap","Text","Page is live. A module-based curriculum on land, water and air — five to sixteen sessions, plus exposure trips and action projects.","Four figures that used to sit on this page — twenty-five thousand children, eighty-five schools, twelve hundred mentors, twelve cities — are withdrawn. Not one of them could be traced to any record we hold, and they were captioned as verified by us.  ->  Nothing. This one is closed by deletion, and it is written down so that nobody puts them back.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-02","/work/projects/bridge-the-gap","Bridge the Gap","Number","Page is live. A module-based curriculum on land, water and air — five to sixteen sessions, plus exposure trips and action projects.","The three million is a derivation, not a register: schools a year, times years, times the children in a school. The middle term — how many children a school has — is not written down anywhere we can cite, so the figure carries the method instead of a source document. That is also the difference between this figure and the twenty-five thousand withdrawn above: that one was captioned verified and had no method at all.  ->  One year's roll from one school turns the multiplier from an assumption into a measurement, and the three million from a derivation into a count.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-03","/work/projects/bridge-the-gap","Bridge the Gap","Text","Page is live. A module-based curriculum on land, water and air — five to sixteen sessions, plus exposure trips and action projects.","CineGreen and Ride the Van are named in our own account of a year and described nowhere on earth.  ->  Two paragraphs would put the best unused material in this section onto the page it belongs on.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-04","/work/projects/bridge-the-gap","Bridge the Gap","Text","Page is live. A module-based curriculum on land, water and air — five to sixteen sessions, plus exposure trips and action projects.","We count schools and we count students. We do not publish what changed in one school after the sixteenth session.  ->  Follow-up from a single school, at any scale, moves this page from reach to effect — which is the only figure a parent actually wants.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-05","/work/projects/eco-action","Eco Action","Photograph","Page is live. Over 70 butterfly parks and over 20 herb gardens across Delhi NCR.","The photograph above is a planting site of ours, not one of these gardens. Not one butterfly park, not one herb garden, and neither the before nor the after of the park that went from five per cent to ninety.  ->  Three frames — one park, one garden, and Vasant Kunj then and now — would make this the strongest page in the section. The text is already there.","","","","","","","","","Ashim","CRITICAL","NOT STARTED"
"A-06","/work/projects/eco-action","Eco Action","Number","Page is live. Over 70 butterfly parks and over 20 herb gardens across Delhi NCR.","The count here is over seventy. Elsewhere on our own site it has been seventy-eight. We have published the figure we can stand behind rather than the one that flatters us.  ->  A current count with a date closes the gap between the two numbers we have been using.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-07","/work/projects/eco-action","Eco Action","Number","Page is live. Over 70 butterfly parks and over 20 herb gardens across Delhi NCR.","We do not name which park in Vasant Kunj, or say when its decade started.  ->  A name and a start year. One makes the park visitable, the other makes the decade checkable.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-08","/work/projects/farm-school","Farm School","Text","Page is live. A learning lab on five acres. Day visits, short courses, internships and stays.","Nobody is named as a partner or a funder here.  ->  A supporter list would let this page do what Bridge the Gap's does — name who paid for the unglamorous middle.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-09","/work/projects/influence","Influence","Number","Page is live. Volunteering and a fellowship, nationwide. Ten thousand volunteers a year, and over 300 youth groups.","There may be films and case studies of the fellows' projects. We have not put our hands on them, so this page counts fellowships instead of showing one.  ->  The films and the case studies. Ten fellows a year and not one of their projects named here is the gap on this page.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-10","/work/projects/influence","Influence","Number","Page is live. Volunteering and a fellowship, nationwide. Ten thousand volunteers a year, and over 300 youth groups.","The volunteering figures are dated to the year the programme started. We cannot say which of them is still true.  ->  A current year on any one of the five.","","","","","","","","","Ashim","HIGH","NOT STARTED"
