"Metric","Current Number on Website","Correct/Verified Number?","Year/Period","Source of Data","Supporting Document","Needs Updating?","Website Page(s) Using It"
"Bridge the Gap — Children and young people reached","3M+","Published with basis stated: modelled","cumulative, since 2000","owner 2026-08-22","NONE ATTACHED — no source document is linked on the site","YES — modelled, not counted","/work/projects/bridge-the-gap + /impact register"
"Bridge the Gap — Schools in Delhi","100–150","Published with basis stated: counted","every year","SOURCE-FACTS §215","NONE ATTACHED — no source document is linked on the site","No","/work/projects/bridge-the-gap + /impact register"
"Bridge the Gap — Students through the curriculum","50,000+","Published with basis stated: counted","over fifteen years","SOURCE-FACTS §58","NONE ATTACHED — no source document is linked on the site","No","/work/projects/bridge-the-gap + /impact register"
"Bridge the Gap — Schools in Delhi NCR","250+","Published with basis stated: counted","over fifteen years","SOURCE-FACTS §58","NONE ATTACHED — no source document is linked on the site","No","/work/projects/bridge-the-gap + /impact register"
"Bridge the Gap — Schools on year-long curricula","200+","Published with basis stated: counted","in 2019–20","SOURCE-FACTS §60","NONE ATTACHED — no source document is linked on the site","No","/work/projects/bridge-the-gap + /impact register"
"Eco Action — Butterfly parks across Delhi NCR","70+","Published with basis stated: counted","cumulative, no start year sourced","SOURCE-FACTS §73","NONE ATTACHED — no source document is linked on the site","YES — no start year","/work/projects/eco-action + /impact register"
"Eco Action — Herb gardens across Delhi NCR","20+","Published with basis stated: counted","cumulative, no start year sourced","SOURCE-FACTS §74","NONE ATTACHED — no source document is linked on the site","YES — no start year","/work/projects/eco-action + /impact register"
"Eco Action — Green cover in one Vasant Kunj park","5% → 90%","Published with basis stated: counted","over a decade","SOURCE-FACTS §76","NONE ATTACHED — no source document is linked on the site","No","/work/projects/eco-action + /impact register"
"Farm School — School groups a year","30","Published with basis stated: counted","annual, current","owner 2026-08-22","NONE ATTACHED — no source document is linked on the site","No","/work/projects/farm-school + /impact register"
"Farm School — Dead leaves composted into soil on site","5,000 kg","Published with basis stated: counted","cumulative, no start year sourced","SOURCE-FACTS §70","NONE ATTACHED — no source document is linked on the site","YES — no start year","/work/projects/farm-school + /impact register"
"Farm School — Honey from the apiary","500 kg","Published with basis stated: counted","cumulative, no start year sourced","SOURCE-FACTS §71","NONE ATTACHED — no source document is linked on the site","YES — no start year","/work/projects/farm-school + /impact register"
"Influence — Fellowships","10","Published with basis stated: counted","each year","owner 2026-08-21","NONE ATTACHED — no source document is linked on the site","No","/work/projects/influence + /impact register"
"Influence — Volunteers, annually","10,000","Published with basis stated: counted","since 2010","SOURCE-FACTS §84","NONE ATTACHED — no source document is linked on the site","No","/work/projects/influence + /impact register"
"Influence — Colleges","50","Published with basis stated: counted","since 2010","SOURCE-FACTS §85","NONE ATTACHED — no source document is linked on the site","No","/work/projects/influence + /impact register"
