"Organisation","Type of Partner","Project/Campaign","Year(s)","Nature of Association","Logo Available","Permission to Display","Existing Website Mention","Missing Content","Should this be publicly featured?","Source"
"Acuity Knowledge Partners","Funder","Bridge the Gap","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Bridge the Gap","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Adobe","Funder","Bridge the Gap, Eco Action, Monsoon Wooding","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Bridge the Gap, Eco Action, Monsoon Wooding","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Amazon","Funder","Eco Action, Monsoon Wooding","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Eco Action, Monsoon Wooding","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"American Express","Funder","Bridge the Gap, Eco Action","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Bridge the Gap, Eco Action","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"British Council","Institutional partner","Yamuna Yatra","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Yamuna Yatra","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Bupa Foundation","Funder","Bridge the Gap","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Bridge the Gap","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"EMpower","Funder","ME to WE, She Leads Change","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — ME to WE, She Leads Change","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"EMpower","Institutional partner","She Leads Change","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — She Leads Change","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"IndusInd Bank","Funder","Monsoon Wooding","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Monsoon Wooding","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Modern Schools","School","NatureScapes","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — NatureScapes","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"National Geographic","Funder","Bridge the Gap","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Bridge the Gap","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Nokia Siemens Networks","Funder","Bridge the Gap","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Bridge the Gap","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"PVR","Funder","Eco Action","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Eco Action","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Pathways World School","School","Yamuna Yatra","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Yamuna Yatra","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"PwC","Funder","Monsoon Wooding","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Monsoon Wooding","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"S&P Global","Funder","Monsoon Wooding","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Monsoon Wooding","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Shriram School","School","Yamuna Yatra","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Yamuna Yatra","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Sir Ratan Tata Trust","Funder","Bridge the Gap","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Bridge the Gap","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"The American Embassy","Funder","Eco Action","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Eco Action","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
